restaurant_name,opening_hours,location,review_score
thesquare-buffet,08.00 -     20.00 น.,กรุงเทพมหานคร,4.08
meatu-buffet,วันอังคาร-วันเสาร์ รอบเเร   รก 11.30-14.00 น. เละ รอบเย็น17.00-21.00 น. วันอาทิตย์ เปิดเวลา11.30-21.00 น. (ร้านหยุดทุกวันจันทร์),กรุงเทพมหานคร,3.9
seafood-paradise-dinner-buffet-novotel-bangkok-platinum,เปิดบริการทุกวัน 18.00-22   2.00 น.,กรุงเทพมหานคร,4.22
coffeeworld-gold,10:00-22:00 น.,กรุงเทพมหานคร,3.96
panini-mafia,11.30-22.30 น.,กรุงเทพมหานคร,4.06
coffeebusbyaod,16.00-01.00 น.,กรุงเทพมหานคร,3.92
mercurebkk-buffet-intrenational,11:30-14:30  0 น.,กรุงเทพมหานคร,4.24
prawn-on-fire-buffet-novotel-bangkok-silom,06.00 – 23.00 น.,กรุงเทพมหานคร,4.04
,,กรุงเทพมหานคร,4.12
,,กรุงเทพมหานคร,4.12
,,กรุงเทพมหานคร,4.22
,,กรุงเทพมหานคร,3.54
